Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_9_000000000-JTBW3_1_2107_12075_21193	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_6237_18573	297412	2	297410	6.72e-4	143	2	141	1.3986013986013985
M06508_9_000000000-JTBW3_1_2112_12650_21689	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_9611_4274	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_17539_17654	1310	1	1309	0.076336	40	1	39	2.5
M06508_9_000000000-JTBW3_1_2113_16622_17882	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_22923_19596	1256	158	1098	12.579618	80	1	79	1.25
M06508_9_000000000-JTBW3_1_1101_1897_14385	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1101_2989_14805	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1101_11336_23069	1056	905	151	85.700758	7	2	5	28.57142857142857
M06508_9_000000000-JTBW3_1_1102_10962_6780	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_6585_17697	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_4532_18228	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_16295_19477	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1103_21853_11028	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1103_9482_12843	3	1	2	33.333333	2	1	1	50
M06508_9_000000000-JTBW3_1_1103_10191_14237	70	70	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1103_6913_16418	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1103_15912_17495	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1103_23660_20365	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_17186_3711	1	1	0	100	1	1	0	100
