Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_19_000000000-CR8CR_1_2111_20687_4491	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2111_4535_9980	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2111_20247_11168	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2111_9680_20362	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_23083_7081	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_6566_8342	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_27741_8927	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_12958_17327	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_8310_17499	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_15884_18730	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2114_15781_16995	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2114_16291_17751	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2114_11788_18470	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1101_8404_7433	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1102_8091_10566	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1105_23025_10715	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1105_28414_12585	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1105_25356_14655	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1105_25665_14967	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1106_6077_15365	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1108_11311_15832	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1110_11831_7726	2	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1110_6917_14603	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1110_21578_17401	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1111_10986_12616	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1111_7344_13873	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1112_12640_7779	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1112_15503_21739	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1113_23113_21739	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2102_13399_27291	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2104_19764_3399	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2107_14023_8257	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2107_11754_14695	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2108_17772_7689	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2108_7669_8601	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2108_7851_9118	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2109_13547_2802	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2109_18411_11364	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2111_12549_7186	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_5540_13655	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2114_21080_8606	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2114_18621_12465	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_15490_4939	133	9	124	6.766917	19	1	18	5.263157894736842
M06508_18_000000000-CNPPR_1_1101_12454_6823	354	337	17	95.19774	5	1	4	20
M06508_18_000000000-CNPPR_1_1101_7287_7457	323	211	112	65.325077	7	1	6	14.285714285714285
M06508_18_000000000-CNPPR_1_1101_9218_10177	921	125	796	13.572204	36	1	35	2.7777777777777777
M06508_18_000000000-CNPPR_1_1101_13016_12184	222	222	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_8684_15952	75	75	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_14520_17230	158	50	108	31.64557	15	1	14	6.666666666666667
M06508_18_000000000-CNPPR_1_1101_10954_22835	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_23693_25354	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_15355_2875	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2110_4550_23140	215357	1	215356	4.64e-4	90	1	89	1.1111111111111112
M06508_18_000000000-CNPPR_1_1102_5109_20093	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_10933_21335	3	3	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_7069_5907	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_21979_6517	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_16190_8041	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_22231_10789	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_21747_15614	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_8833_20956	49	21	28	42.857143	5	1	4	20
M06508_18_000000000-CNPPR_1_1103_15045_22220	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_12463_5081	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_24972_8657	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_9788_12604	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_24214_15349	38	8	30	21.052632	9	1	8	11.11111111111111
M06508_18_000000000-CNPPR_1_1104_22395_16691	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_20184_22156	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_25209_14476	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_9415_20888	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_18731_23535	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_14168_4477	20	1	19	5	4	1	3	25
M06508_18_000000000-CNPPR_1_1106_24653_5706	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_6584_11447	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_2358_13414	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_2736_17733	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_26469_17987	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_8193_22994	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_11912_2285	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_11229_13508	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_9642_22323	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_19997_22978	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_8081_4511	6	1	5	16.666667	6	1	5	16.666666666666664
M06508_18_000000000-CNPPR_1_1108_13391_8797	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_12911_9498	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_14973_16451	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_26463_18276	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_10930_19446	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_6967_20207	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_7799_20709	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_14122_3718	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_23703_4151	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_22943_5587	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_8550_9739	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_28812_13095	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_6505_22794	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2104_4536_16917	1413	1	1412	0.070771	108	1	107	0.9259259259259258
M06508_18_000000000-CNPPR_1_1109_20749_28028	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_9142_4394	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_12849_6064	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_25353_6515	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_13735_7823	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_4404_17508	5	1	4	20	5	1	4	20
M06508_18_000000000-CNPPR_1_1110_16949_27765	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_10707_3315	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_11407_7205	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_17073_10040	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_15512_14135	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_13226_15170	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_22778_18402	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_20486_19205	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_7762_21120	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_27197_21304	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_10168_4545	29	7	22	24.137931	17	3	14	17.647058823529413
M06508_16_000000000-CMN9T_1_2101_14354_9881	4201	1	4200	0.023804	7	1	6	14.285714285714285
M06508_18_000000000-CNPPR_1_1112_21135_5991	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_13427_8477	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_8684_17033	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_5572_19280	5	1	4	20	5	1	4	20
M06508_18_000000000-CNPPR_1_1113_18365_24704	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_21741_7069	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_5144_7442	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1114_14346_14116	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_15463_16811	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_3283_17366	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_16473_14661	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_23879_16963	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_26186_17195	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_20743_27334	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_14089_14515	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_26874_14853	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_16837_17460	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_13000_24261	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_22945_25049	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_12603_28599	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_25573_5386	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_12434_7438	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_16061_8360	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_23126_14241	5826	1	5825	0.017164	148	1	147	0.6756756756756757
M06508_18_000000000-CNPPR_1_2103_13684_10980	4	4	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_25356_11833	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_14916_12201	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_4076_14300	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_27536_15630	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_10579_25744	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_12933_6615	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_27727_9998	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_22483_10283	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_8587_16255	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_25344_16541	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_18865_19596	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_28971_19654	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_19144_23323	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_16846_3828	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_22880_9862	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_6924_10611	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_20132_22928	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_19865_25196	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2106_13106_26886	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_24427_9025	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_23036_23948	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_14985_27883	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_17005_2462	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_13458_3494	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2108_16152_9073	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_6112_10768	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_6097_10779	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_3287_12224	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_2381_12912	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_5683_13767	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_12732_19083	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_27390_20531	2	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2108_13602_22769	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_14684_8131	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_11615_12048	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_21111_13284	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_28312_17651	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_19426_20075	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_23279_24050	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_23627_24604	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_10472_27365	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_4725_8448	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_13293_11763	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2110_6921_11848	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_25676_13179	22419	1	22418	0.004461	88	1	87	1.1363636363636365
M06508_18_000000000-CNPPR_1_2111_19244_3098	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_20142_3881	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_9139_8515	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_6395_8580	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_24318_10815	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_13423_12580	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_25615_13182	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_25561_14489	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_24336_17068	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2111_18508_22085	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_20083_4387	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_29185_11552	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_4553_13864	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_3138_19485	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_4170_20156	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2112_20464_21260	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_16749_1921	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_23166_6063	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_5373_6320	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_2306_11379	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_8138_11815	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_11899_13886	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_5769_15489	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_11555_18769	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_6243_19813	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_13547_20610	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2113_8457_23177	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_15964_13801	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_19029_14315	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_10927_14640	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_15713_21771	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_15731_21783	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_19391_2347	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_15148_3955	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_13905_5018	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_24678_9423	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_9786_14476	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_2333_14855	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_26516_17216	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_13799_20921	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_14949_27999	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_17438_7972	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_11514_11199	3	3	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_21955_14397	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_4270_10298	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_8882_10881	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_20431_12912	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_18184_13925	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_2999_19521	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1103_22018_27698	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_11757_6319	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_7399_16434	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_18862_20604	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_11555_22930	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_15241_27439	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_26346_7305	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_12025_8711	2	2	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_17686_9409	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_27374_12991	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_8622_21215	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_26545_23362	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1105_12766_27848	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_20831_2546	5	5	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_25906_7488	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_6722_9275	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_11521_14849	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1106_5710_22120	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_14731_2630	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_23576_16346	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_15615_16772	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_15606_16788	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1107_16678_23638	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_7936_6235	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_26698_8943	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_4339_17991	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_9517_21700	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_6200_23784	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1108_25253_25443	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_20591_3968	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_14419_5926	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_16927_8725	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_11415_14526	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_21921_17966	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_24494_22605	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_8426_22940	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_8265_23886	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_23072_24661	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1109_10213_25520	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_15684_5172	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_13497_7067	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_17756_12011	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_4854_12984	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_24655_14978	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_13904_16071	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_3562_19585	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_19207_22930	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_21800_25413	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1110_16429_27653	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_17683_15708	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_19629_17849	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_6719_25663	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_13616_5167	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_23320_18025	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_15166_20428	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1112_24523_22934	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_27937_13892	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_19091_20283	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1113_5144_22789	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_17364_4726	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_28528_9717	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_22682_13124	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_12480_13220	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_23044_13389	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_14285_19298	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1114_5933_23385	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_15631_3278	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_8393_10008	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_14244_19378	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2101_28365_19838	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_14039_3035	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_10976_8055	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_12947_8429	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_13896_9205	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2102_8491_11649	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_9142_12393	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_11491_22003	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2103_17949_24187	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_17690_7474	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_10166_10761	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_20298_13616	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_4554_19800	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_26819_20166	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_21879_23897	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_18692_12012	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_9515_12296	1	1	0	100	1	1	0	100
